Author, year	Study design	Sample size	Sample characteristics 	Diagnostic category	Main outcomes reported	Inclusion criteria	Exclusion criteria	Country	Main results
Almoguera et al., 2013 [40]	Open label study	75	"M 41, F 34; <40 y.o. (n=25); 40-59 y.o. (n=39); ? 60 y.o. (n=11)"	SCZ (DSM-IV)	Association of PGx test and RIS treatment outcomes (P-PANSS, N-PANSS and T-PANSS % change – response ? 50% change)	Admitted to an acute inpatient unit	N/A	SPN	CYP2D6 poor metabolism appeared to be associated with greater T-PANSS improvement.
Gregoor et al., 2013 [41]	Case-control study	528	"Cases n =222 (M 151, F 71); Controls n=306 (M 161, F 145)"	SCZ (DSM-IV)	Association of CYP2D6 phenotypes and probability of switching to CLZ.	"Psychotic disorder; Received two AP trials of at least one month each"	N/A	NET	No statistically significant association between CYP2D6 phenotypes and outcomes.
Grossman et al., 2008 [42]	CATIE Cohort	708	"OLA 195 (mean age: 40.6 ± 11.2 y.o.); QUE 151 (mean age: 41.4 ± 11.4); RIS 175 (mean age: 40.6 ± 11.2); ZIP 96 (mean age:40.9 ± 10.0); PER 91 (mean age: 40.5 ± 10.6)"	SCZ (DSM-IV)	Association of 25 functional variants in major and minor metabolizing enzymes with treatment outcomes (T-PANSS % changes, treatment retention.)	18-65 y.o.	"Intolerance or no response to treatments; SCA, MR, delirium, dementia, pervasive developmental disorder; Pregnancy, breastfeeding "	USA	No association with treatment efficacy.
Jürgens et al., 2020 [27]	RCT	669	"GGT n =95 (mean age: 42 y.o.); SCM n = 94 (mean age:40 y.o.); CG n = 101 (mean age: 42 y.o.)"	SCZ 	Association of CYP2D6 or CYP2C19 phenotypes and 1-year AP treatment outcome (AP treatment persistent and SAPS severity)	"No previous PGx testing; ? 18 y.o."	Not adherent to the treatment protocol	DEN	No association between the tested phenotypes and treatment outcomes. No difference between GGT, SCM or CG.
Jovanovi? et al., 2010 [43]	Open label study	83	M 17, F 66 (mean age 30.3 ± 8.1 y.o.)	SCZ (DSM-IV)	Association of CYP2D6 (*3,*4,*6), ABCB1 (G2677T/A and C3435T) genotypes with 8-weeks RIS treatment outcomes 	"FEP; No prior AP exposure; Oral RIS; Diazepam and Biperiden only two medications allowed"	N/A	CRO	No statistically significant association between the tested polymorphisms and symptom change.
Kaur et al., 2017 [44]	Open-label study	443	M 262, F 157 (mean age: 31.3 ± 9.5 y.o.)	SCZ (DSM-IV)	Association of CYP2D6 phenotype with 12- weeks RIS treatment outcomes (response t-PANSS ? 50% from baseline)  	"18-55 y.o.; Caregiver that could monitor treatment adherence"	"SUD other than tobacco; MR; LAI; Metabolic syndrome; Severe medical or surgical comorbidity"	IND	CYP2D6*4 polymorphism frequency differed significantly in terms of T-PANSS change when drop-outs were excluded from the analysis.
Lesche et al., 2019 [45]	Retrospective cohort study	66	M 48, F 18 (mean age: 40 ± 10 y.o.)	SCZ (DSM-IV)	Association of CYP1A2, CYP2D6, CYP2C19 phenotypes with CLZ treatment outcomes (T-PANSS score).	"On CLZ treatment; 18-65 y.o."	N/A	AUT	CYP1A2, CYP2D6, CYP2C19 activity scores impact appears limited compared to nongenetic factors.
Lin et al., 2006 [46]	Open-label study	41	M 33, 8 F (mean age 35.6 ± 8.8 y.o.) 	SCZ (DSM-IV)	Association of three PGP polymorphisms and 6-week OLA treatment outcomes (% change BPRS)	"18-65 y.o.; BPRS ? 42"	"SUD; Unstable medical illness"	USA	For ABCB1 3435T carriers, OLA plasma levels correlated with % BPRS change.
Lu et al., 2021 [47]	Open-label study	76	M 38, F 38 – mean age: 45 y.o.	SCZ 	Association of CYP2D6 phenotypes and 8-week RIS treatment (PANSS, BPRS, CGI changes)	No AP exposure for 1 year	ECT in the 3-months prior to enrollment	CHN	Significant changes in PANSS score between CYP2D6 phenotypes.
						"Recent admission to the hospital for symptoms relapse; RIS monotherapy at discharge"	"MS or AD augmentation; Brain lesions; Medical illnessess; Other reason for unsuitability"		
